Account,Company,Transaction Date,JV Value
Books-CDs-Audio-Video,Amazon EU,21/07/2014,29.98
Books-CDs-Audio-Video,Amazon EU,10/07/2014,45.88
Books-CDs-Audio-Video,Amazon EU,12/08/2014,11.22
Books-CDs-Audio-Video,Amazon EU,22/08/2014,9.34
Books-CDs-Audio-Video,Amazon EU,12/08/2014,18.3
Books-CDs-Audio-Video,Amazon EU,18/08/2014,69.56
Books-CDs-Audio-Video,Amazon EU,21/08/2014,51.29
Books-CDs-Audio-Video,Amazon EU,06/08/2014,10.31
Books-CDs-Audio-Video,Amazon EU,15/08/2014,123.29
Books-CDs-Audio-Video,Amazon EU,11/08/2014,60.7
Books-CDs-Audio-Video,Amazon EU,22/08/2014,66.62
Books-CDs-Audio-Video,Amazon EU,14/08/2014,-14.38
Books-CDs-Audio-Video,Amazon EU,01/09/2014,9.99
Books-CDs-Audio-Video,Amazon EU,11/08/2014,19.21
Books-CDs-Audio-Video,Amazon EU,22/09/2014,136.77
Books-CDs-Audio-Video,Amazon EU,30/09/2014,52.09
Books-CDs-Audio-Video,Amazon EU,07/10/2014,12.75
Books-CDs-Audio-Video,Amazon EU,07/10/2014,30.68
Books-CDs-Audio-Video,Amazon EU,22/10/2014,19.08
Books-CDs-Audio-Video,Amazon EU,13/10/2014,20.64
Books-CDs-Audio-Video,Amazon EU,27/10/2014,9.47
Books-CDs-Audio-Video,Amazon EU,06/10/2014,19.74
Books-CDs-Audio-Video,Amazon EU,15/10/2014,396.99
Books-CDs-Audio-Video,Amazon EU,24/10/2014,19.3
Books-CDs-Audio-Video,Amazon EU,27/10/2014,19.3
Books-CDs-Audio-Video,Amazon EU,03/10/2014,123.29
Books-CDs-Audio-Video,Amazon EU,06/10/2014,60
Books-CDs-Audio-Video,Amazon EU,20/10/2014,279.86
Books-CDs-Audio-Video,Amazon EU,13/10/2014,110
Books-CDs-Audio-Video,Amazon EU,10/10/2014,53.56
Books-CDs-Audio-Video,Amazon EU,08/10/2014,110
Books-CDs-Audio-Video,Amazon EU,02/10/2014,14.99
Books-CDs-Audio-Video,Amazon EU,02/10/2014,51.66
Books-CDs-Audio-Video,Amazon EU,09/10/2014,59.97
Books-CDs-Audio-Video,Amazon EU,09/10/2014,39.98
Books-CDs-Audio-Video,Amazon EU,01/12/2014,13.99
Books-CDs-Audio-Video,Amazon EU,06/11/2014,22.39
Books-CDs-Audio-Video,Amazon EU,21/11/2014,81.99
Books-CDs-Audio-Video,Amazon EU,20/11/2014,25
Books-CDs-Audio-Video,Amazon EU,06/11/2014,10.8
Books-CDs-Audio-Video,Amazon EU,21/11/2014,94.66
Books-CDs-Audio-Video,Amazon EU,25/11/2014,129.54
Books-CDs-Audio-Video,Amazon EU,06/11/2014,41.8
